,总数据,京东相关数据,比例,,
浏览量,1338815182,83206676,0.062149486,,
关注量,635448,31893,0.050189787,,
回答量,361569,16512,0.045667632,,
赞同量,21562540,2509292,0.116372746,,
点击率,22.55202392,22.71185189,1.007087079,,
,,,,,
男子开小米 SU7 冲撞摩托俱乐部，警方通报「因口角纠纷持刀伤人致 1 死」，具体情况如何？,12932167,5248,3444,87923,14.72
京东这次代言风波事件能持续多久？,8321302,1744,899,241779,27.15
京东是否已经顺利度过这次风波?,7131539,2201,1287,211825,26.54
为什么我觉得美国还要繁荣几百年?,5942431,3788,1801,13591,24.19
如何看待京东大规模阻止用户注销京东金融？,5874905,2566,903,183803,25.26
如何看待付航夺冠，小鹿惜败？,4980014,1347,1019,109819,23.77
京东此次失败的公关会造成大规模挤兑吗？,4859117,989,373,120833,28.13
京东事件如何收场?,4275371,1530,909,149805,27.61
高振宁直播称「《英雄联盟》有城墙这个英雄吗？我玩游戏不用多读书」这句话对电竞圈的伤害有多大？,4052556,990,547,25899,22.68
如何一眼看出两个人私下里发生了秘密关系？,3741465,539,69,22981,28.97
